continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,days
South America,Chile,2020-06-20,231393.0,6290.0,4093.0,252.0,12104.544,329.04,214.111,,,,,19116209,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,172
Asia,China,2020-06-20,84524.0,30.0,4638.0,0.0,58.725,0.021,3.222,,,,,1439323774,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,172
South America,Colombia,2020-06-20,63276.0,3059.0,2045.0,95.0,1243.562,60.118,40.19,,,,,50882884,44.223,32.2,7.646,4.312,13254.948999999999,4.5,124.24,7.44,4.7,13.5,65.38600000000001,1.71,77.29,172
Africa,Comoros,2020-06-20,210.0,0.0,5.0,0.0,241.49200000000002,0.0,5.75,,,,,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.51599999999996,11.88,4.4,23.6,15.574000000000002,2.2,64.32,172
Africa,Congo,2020-06-20,883.0,0.0,27.0,0.0,160.019,0.0,4.893,,,,,5518092,15.405,19.0,3.4019999999999997,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,172
North America,Costa Rica,2020-06-20,2058.0,187.0,112.0,100.0,403.996,36.709,21.986,,,,,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,172
Africa,Cote d'Ivoire,2020-06-20,6444.0,381.0,49.0,1.0,244.292,14.444,1.858,,,,,26378275,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,303.74,2.42,,,19.351,,57.78,172
Europe,Croatia,2020-06-20,2280.0,11.0,107.0,0.0,555.384,2.679,26.064,,,,,4105268,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,172
North America,Cuba,2020-06-20,2305.0,10.0,85.0,0.0,203.503,0.883,7.504,,,,,11326616,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,172
North America,Curacao,2020-06-20,23.0,0.0,1.0,0.0,140.158,0.0,6.093999999999999,,,,,164100,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,172
Europe,Cyprus,2020-06-20,985.0,0.0,19.0,0.0,1124.559,0.0,21.691999999999997,,,,,875899,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,172
Europe,Czech Republic,2020-06-20,10460.0,230.0,335.0,1.0,976.75,21.476999999999997,31.281999999999996,,,,,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,79.38,172
Africa,Democratic Republic of Congo,2020-06-20,5476.0,194.0,121.0,4.0,61.141999999999996,2.166,1.351,,,,,89561404,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,172
Europe,Denmark,2020-06-20,12391.0,47.0,600.0,0.0,2139.255,8.113999999999999,103.588,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,80.9,172
Africa,Djibouti,2020-06-20,4565.0,8.0,45.0,2.0,4620.436,8.097000000000001,45.54600000000001,,,,,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,172
North America,Dominica,2020-06-20,18.0,0.0,0.0,0.0,250.03099999999998,0.0,0.0,,,,,71991,98.56700000000001,,,,9673.367,,227.37599999999998,11.62,,,,3.8,75.0,172
North America,Dominican Republic,2020-06-20,25068.0,423.0,647.0,12.0,2310.861,38.994,59.643,,,,,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,172
South America,Ecuador,2020-06-20,49731.0,634.0,4156.0,69.0,2818.7290000000003,35.935,235.56,,,,,17643060,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,172
Africa,Egypt,2020-06-20,52211.0,1774.0,2017.0,79.0,510.2,17.335,19.71,,,,,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,172
North America,El Salvador,2020-06-20,4329.0,129.0,93.0,7.0,667.4169999999999,19.887999999999998,14.338,,,,,6486201,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,172
Africa,Equatorial Guinea,2020-06-20,1664.0,358.0,32.0,20.0,1186.0430000000001,255.17,22.809,,,,,1402985,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,172
Africa,Eritrea,2020-06-20,142.0,0.0,0.0,0.0,40.04,0.0,0.0,,,,,3546427,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,172
Europe,Estonia,2020-06-20,1979.0,2.0,69.0,0.0,1491.852,1.508,52.015,,,,,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,172
Africa,Ethiopia,2020-06-20,4070.0,116.0,72.0,7.0,35.403,1.0090000000000001,0.626,,,,,114963583,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,172
Europe,Faeroe Islands,2020-06-20,187.0,0.0,0.0,0.0,3826.87,0.0,0.0,,,,,48865,35.308,,,,,,,,,,,,80.67,172
South America,Falkland Islands,2020-06-20,13.0,0.0,0.0,0.0,3732.415,0.0,0.0,,,,,3483,,,,,,,,,,,,,81.44,172
Oceania,Fiji,2020-06-20,18.0,0.0,0.0,0.0,20.079,0.0,0.0,,,,,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,172
Europe,Finland,2020-06-20,7133.0,16.0,326.0,0.0,1287.378,2.888,58.836999999999996,,,,,5540718,18.136,42.8,21.228,13.264000000000001,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,172
Europe,France,2020-06-20,159452.0,811.0,29617.0,14.0,2442.8289999999997,12.425,453.73699999999997,,,,,65273512,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,172
Oceania,French Polynesia,2020-06-20,60.0,0.0,0.0,0.0,213.59599999999998,0.0,0.0,,,,,280904,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,172
Africa,Gabon,2020-06-20,4428.0,88.0,34.0,2.0,1989.461,39.538000000000004,15.276,,,,,2225728,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,172
Africa,Gambia,2020-06-20,36.0,0.0,1.0,0.0,14.897,0.0,0.414,,,,,2416664,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,172
Asia,Georgia,2020-06-20,896.0,1.0,14.0,0.0,224.608,0.251,3.509,,,,,3989175,65.032,38.7,14.864,10.244000000000002,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,172
Europe,Germany,2020-06-20,189135.0,601.0,8883.0,11.0,2257.413,7.172999999999999,106.023,,,,,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,172
Africa,Ghana,2020-06-20,13203.0,274.0,70.0,4.0,424.903,8.818,2.253,,,,,31072945,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,172
Europe,Gibraltar,2020-06-20,176.0,0.0,0.0,0.0,5223.947,0.0,0.0,,,,,33691,3457.1,,,,,,,,,,,,79.93,172
Europe,Greece,2020-06-20,3237.0,10.0,189.0,1.0,310.562,0.9590000000000001,18.133,,,,,10423056,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,172
North America,Greenland,2020-06-20,13.0,0.0,0.0,0.0,228.986,0.0,0.0,,,,,56772,0.13699999999999998,,,,,,199.94099999999997,2.16,,,,,71.7,172
North America,Grenada,2020-06-20,23.0,0.0,0.0,0.0,204.41,0.0,0.0,,,,,112519,317.132,29.4,7.303999999999999,5.021,13593.877,,243.96400000000003,10.71,,,,3.7,72.4,172
Oceania,Guam,2020-06-20,200.0,0.0,5.0,0.0,1184.953,0.0,29.624000000000002,,,,,168783,304.128,31.4,9.551,5.492999999999999,,,310.496,21.52,,,,,80.07,172
North America,Guatemala,2020-06-20,12509.0,641.0,483.0,34.0,698.22,35.779,26.96,,,,,17915567,157.834,22.9,4.694,3.016,7423.808000000001,8.7,155.898,10.18,,,76.665,0.6,74.3,172
Europe,Guernsey,2020-06-20,252.0,0.0,13.0,0.0,3758.277,0.0,193.87900000000002,,,,,67052,,,,,,,,,,,,,,172
Africa,Guinea,2020-06-20,4904.0,63.0,27.0,1.0,373.416,4.797,2.056,,,,,13132792,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,172
Africa,Guinea-Bissau,2020-06-20,1512.0,0.0,15.0,0.0,768.293,0.0,7.622000000000001,,,,,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,172
South America,Guyana,2020-06-20,183.0,0.0,12.0,0.0,232.65900000000002,0.0,15.255999999999998,,,,,786559,3.952,26.3,5.305,2.8369999999999997,7435.047,,373.159,11.62,,,77.15899999999999,1.6,69.91,172
North America,Haiti,2020-06-20,4980.0,64.0,87.0,3.0,436.745,5.6129999999999995,7.63,,,,,11402533,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,172
North America,Honduras,2020-06-20,11258.0,519.0,349.0,6.0,1136.643,52.4,35.236,,,,,9904608,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,172
Europe,Hungary,2020-06-20,4086.0,5.0,570.0,2.0,422.966,0.518,59.004,,,,,9660350,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,172
